1202 | 12/09/2022 | 22:13:30 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.76 < Threshold 2.88 Volts
118e | 12/09/2022 | 22:07:18 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
118f | 12/09/2022 | 22:07:18 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1190 | 12/09/2022 | 22:07:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.83 < Threshold 2.93 Volts
1191 | 12/09/2022 | 22:07:45 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
1192 | 12/09/2022 | 22:07:46 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
1193 | 12/09/2022 | 22:07:51 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
1194 | 12/09/2022 | 22:07:51 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1195 | 12/09/2022 | 22:07:52 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1196 | 12/09/2022 | 22:08:10 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1197 | 12/09/2022 | 22:08:13 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1198 | 12/09/2022 | 22:08:16 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1199 | 12/09/2022 | 22:08:19 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
119a | 12/09/2022 | 22:08:20 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
119b | 12/09/2022 | 22:08:25 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
119c | 12/09/2022 | 22:08:26 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
119d | 12/09/2022 | 22:08:26 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
119e | 12/09/2022 | 22:08:28 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
119f | 12/09/2022 | 22:08:31 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
11a0 | 12/09/2022 | 22:08:44 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
11a1 | 12/09/2022 | 22:08:44 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
11a2 | 12/09/2022 | 22:08:44 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
11a3 | 12/09/2022 | 22:08:47 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.02 < Threshold 2.88 Volts
11a4 | 12/09/2022 | 22:08:47 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.02 < Threshold 2.90 Volts
11a5 | 12/09/2022 | 22:08:47 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
11a6 | 12/09/2022 | 22:09:05 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
11a7 | 12/09/2022 | 22:09:08 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
11a8 | 12/09/2022 | 22:09:14 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
11a9 | 12/09/2022 | 22:09:14 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
11aa | 12/09/2022 | 22:09:14 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
11ab | 12/09/2022 | 22:09:17 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
11ac | 12/09/2022 | 22:09:17 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
11ad | 12/09/2022 | 22:09:17 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
11ae | 12/09/2022 | 22:09:44 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.81 < Threshold 2.93 Volts
11af | 12/09/2022 | 22:09:44 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.81 < Threshold 2.90 Volts
11b0 | 12/09/2022 | 22:09:45 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.81 < Threshold 2.88 Volts
11b1 | 12/09/2022 | 22:09:53 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11b2 | 12/09/2022 | 22:09:54 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11b3 | 12/09/2022 | 22:09:54 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11b4 | 12/09/2022 | 22:10:11 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
11b5 | 12/09/2022 | 22:10:14 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
11b6 | 12/09/2022 | 22:10:15 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
11b7 | 12/09/2022 | 22:10:20 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11b8 | 12/09/2022 | 22:10:21 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11b9 | 12/09/2022 | 22:10:21 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11ba | 12/09/2022 | 22:10:24 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
11bb | 12/09/2022 | 22:10:24 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
11bc | 12/09/2022 | 22:10:24 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
11bd | 12/09/2022 | 22:10:27 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11be | 12/09/2022 | 22:10:27 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11bf | 12/09/2022 | 22:10:27 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11c0 | 12/09/2022 | 22:10:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
11c1 | 12/09/2022 | 22:10:48 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
11c2 | 12/09/2022 | 22:10:48 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
11c3 | 12/09/2022 | 22:10:57 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.02 < Threshold 2.88 Volts
11c4 | 12/09/2022 | 22:10:57 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.02 < Threshold 2.90 Volts
11c5 | 12/09/2022 | 22:10:57 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
11c6 | 12/09/2022 | 22:11:00 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.81 < Threshold 2.93 Volts
11c7 | 12/09/2022 | 22:11:00 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.81 < Threshold 2.90 Volts
11c8 | 12/09/2022 | 22:11:01 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.81 < Threshold 2.88 Volts
11c9 | 12/09/2022 | 22:11:03 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11ca | 12/09/2022 | 22:11:03 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11cb | 12/09/2022 | 22:11:04 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11cc | 12/09/2022 | 22:11:09 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
11cd | 12/09/2022 | 22:11:09 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
11ce | 12/09/2022 | 22:11:12 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
11cf | 12/09/2022 | 22:11:18 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11d0 | 12/09/2022 | 22:11:18 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11d1 | 12/09/2022 | 22:11:19 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11d2 | 12/09/2022 | 22:11:21 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
11d3 | 12/09/2022 | 22:11:21 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
11d4 | 12/09/2022 | 22:11:27 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
11d5 | 12/09/2022 | 22:11:30 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3 < Threshold 2.88 Volts
11d6 | 12/09/2022 | 22:11:30 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
11d7 | 12/09/2022 | 22:11:31 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
11d8 | 12/09/2022 | 22:11:33 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
11d9 | 12/09/2022 | 22:11:34 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
11da | 12/09/2022 | 22:11:34 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
11db | 12/09/2022 | 22:11:36 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11dc | 12/09/2022 | 22:11:37 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11dd | 12/09/2022 | 22:11:37 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
11de | 12/09/2022 | 22:11:39 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
11df | 12/09/2022 | 22:11:40 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
11e0 | 12/09/2022 | 22:11:40 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
11e1 | 12/09/2022 | 22:11:42 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
11e2 | 12/09/2022 | 22:11:43 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
11e3 | 12/09/2022 | 22:11:43 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
11e4 | 12/09/2022 | 22:11:45 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.83 < Threshold 2.93 Volts
11e5 | 12/09/2022 | 22:11:46 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
11e6 | 12/09/2022 | 22:11:46 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
11e7 | 12/09/2022 | 22:11:54 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3 < Threshold 2.88 Volts
11e8 | 12/09/2022 | 22:11:55 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
11e9 | 12/09/2022 | 22:11:55 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
11ea | 12/09/2022 | 22:12:04 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
11eb | 12/09/2022 | 22:12:04 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
11ec | 12/09/2022 | 22:12:04 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
11ed | 12/09/2022 | 22:12:07 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
11ee | 12/09/2022 | 22:12:07 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
11ef | 12/09/2022 | 22:12:07 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
11f0 | 12/09/2022 | 22:12:22 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.78 < Threshold 2.93 Volts
11f1 | 12/09/2022 | 22:12:22 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.78 < Threshold 2.90 Volts
11f2 | 12/09/2022 | 22:12:22 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.78 < Threshold 2.88 Volts
11f3 | 12/09/2022 | 22:12:35 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.02 < Threshold 2.88 Volts
11f4 | 12/09/2022 | 22:12:35 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.02 < Threshold 2.90 Volts
11f5 | 12/09/2022 | 22:12:35 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
11f6 | 12/09/2022 | 22:12:41 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
11f7 | 12/09/2022 | 22:12:44 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
11f8 | 12/09/2022 | 22:12:47 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
11f9 | 12/09/2022 | 22:12:56 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
11fa | 12/09/2022 | 22:13:14 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.78 < Threshold 2.93 Volts
11fb | 12/09/2022 | 22:13:15 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.78 < Threshold 2.90 Volts
11fc | 12/09/2022 | 22:13:15 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.78 < Threshold 2.88 Volts
11fd | 12/09/2022 | 22:13:23 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
11fe | 12/09/2022 | 22:13:24 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
11ff | 12/09/2022 | 22:13:24 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1200 | 12/09/2022 | 22:13:29 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.76 < Threshold 2.93 Volts
129c | 02/06/2023 | 06:24:32 | Temperature #0x30 | Upper Critical going high | Asserted


